Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1620863334,6,,Aggregated,10.600000,0.000000,69,70,74,77,95,100,100,100,150,150,150,513,0,69,73.70367037266499,64.70727900159545,147.064552991651,26.0
1620863335,6,,Aggregated,10.300000,0.000000,69,70,74,78,98,100,100,100,150,150,150,525,0,69,73.87912805169998,64.70727900159545,147.064552991651,26.0
1620863336,6,,Aggregated,10.500000,0.000000,69,70,74,78,98,100,100,100,150,150,150,535,0,69,73.91543732352216,64.70727900159545,147.064552991651,26.0
1620863337,6,,Aggregated,10.500000,0.000000,69,70,74,78,99,100,100,100,150,150,150,545,0,69,73.97424240191809,64.70727900159545,147.064552991651,26.0
1620863338,6,,Aggregated,10.300000,0.000000,69,70,74,78,99,100,100,100,150,150,150,555,0,69,74.11170376948215,64.70727900159545,147.064552991651,26.0
1620863339,6,,Aggregated,10.300000,0.000000,69,70,74,79,99,100,100,100,150,150,150,565,0,69,74.20017278065032,64.70727900159545,147.064552991651,26.0
1620863340,6,,Aggregated,10.300000,0.000000,69,70,75,79,99,100,100,100,150,150,150,577,0,69,74.33146665003304,64.70727900159545,147.064552991651,26.0
1620863341,6,,Aggregated,10.500000,0.000000,69,70,75,80,99,100,100,100,150,150,150,587,0,69,74.60611901538338,64.70727900159545,147.064552991651,26.0
1620863342,6,,Aggregated,10.500000,0.000000,69,70,75,81,99,100,100,100,150,150,150,595,0,69,74.84551840500922,64.70727900159545,147.064552991651,26.0
1620863343,6,,Aggregated,10.100000,0.000000,69,71,76,84,99,100,100,100,150,150,150,607,0,69,75.21694439690202,64.70727900159545,147.064552991651,26.0
1620863344,6,,Aggregated,10.400000,0.000000,69,71,77,85,100,100,100,100,150,150,150,617,0,69,75.46296787019547,64.70727900159545,147.064552991651,26.0
1620863345,6,,Aggregated,10.400000,0.000000,69,71,78,86,100,100,100,100,150,150,150,625,0,69,75.62082936475053,64.70727900159545,147.064552991651,26.0
1620863346,6,,Aggregated,10.000000,0.000000,69,71,79,87,100,100,100,110,160,160,160,637,0,69,76.06579627619845,64.70727900159545,155.27620899956673,26.0
1620863347,6,,Aggregated,10.200000,0.000000,69,72,79,88,100,100,100,110,160,160,160,647,0,69,76.2116872132709,64.70727900159545,155.27620899956673,26.0
1620863348,6,,Aggregated,10.300000,0.000000,69,72,80,89,100,100,100,120,160,160,160,657,0,69,76.3840619208861,64.70727900159545,155.27620899956673,26.0
1620863349,6,,Aggregated,10.200000,0.000000,69,72,81,94,100,100,110,140,160,160,160,668,0,69,76.93699969319121,64.70727900159545,163.11110500828363,26.0
1620863350,6,,Aggregated,10.200000,0.000000,69,72,82,97,100,100,120,150,160,160,160,677,0,69,77.34233599719819,64.70727900159545,163.11110500828363,26.0
1620863351,6,,Aggregated,10.000000,0.000000,69,73,85,98,100,100,120,150,160,160,160,687,0,69,77.5657615329856,64.70727900159545,163.11110500828363,26.0
1620863352,6,,Aggregated,10.100000,0.000000,69,74,85,98,100,100,120,150,160,160,160,697,0,69,77.74285361138367,64.70727900159545,163.11110500828363,26.0
