Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1621427554,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,406,0,100.0,111.09672277339942,97.20564499980355,218.17726300014328,26.0
1621427555,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,416,0,100.0,110.89783528124991,97.20564499980355,218.17726300014328,26.0
1621427556,6,,Aggregated,9.900000,0.000000,100,100,110,110,150,160,180,200,220,220,220,426,0,100.0,110.63569168310012,97.20564499980355,218.17726300014328,26.0
1621427557,6,,Aggregated,9.900000,0.000000,100,100,110,110,150,160,180,200,220,220,220,436,0,100.0,110.4414944587166,97.20564499980355,218.17726300014328,26.0
1621427558,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,180,200,220,220,220,446,0,100.0,110.19697256053873,97.20564499980355,218.17726300014328,26.0
1621427559,6,,Aggregated,9.800000,0.000000,100,100,110,110,140,160,180,200,220,220,220,456,0,100.0,109.97338228070333,97.20564499980355,218.17726300014328,26.0
1621427560,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,180,200,220,220,220,466,0,100.0,109.77898284978741,97.20564499980355,218.17726300014328,26.0
1621427561,6,,Aggregated,10.000000,0.000000,100,100,110,110,140,160,180,200,220,220,220,476,0,100.0,109.7332328928598,97.20564499980355,218.17726300014328,26.0
1621427562,6,,Aggregated,10.100000,0.000000,100,100,110,110,140,160,180,200,220,220,220,486,0,100.0,109.84300040123607,97.20564499980355,218.17726300014328,26.0
1621427563,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,180,200,220,220,220,495,0,100.0,109.66302789091036,97.20564499980355,218.17726300014328,26.0
1621427564,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,170,190,220,220,220,506,0,100.0,109.66534727075259,97.20564499980355,218.17726300014328,26.0
1621427565,6,,Aggregated,10.100000,0.000000,100,100,110,110,140,160,170,190,220,220,220,516,0,100.0,109.73419966860507,97.20564499980355,218.17726300014328,26.0
1621427566,6,,Aggregated,9.700000,0.000000,100,100,110,110,140,160,170,190,220,220,220,525,0,100.0,109.73916734476305,97.20564499980355,218.17726300014328,26.0
1621427567,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,170,190,220,220,220,536,0,100.0,109.62930749440312,97.20564499980355,218.17726300014328,26.0
1621427568,6,,Aggregated,10.000000,0.000000,100,100,110,110,140,160,170,190,220,220,220,545,0,100.0,109.47498408073446,97.20564499980355,218.17726300014328,26.0
1621427569,6,,Aggregated,9.800000,0.000000,100,100,110,110,140,160,170,190,220,220,220,555,0,100.0,109.36926761081158,97.20564499980355,218.17726300014328,26.0
1621427570,6,,Aggregated,9.900000,0.000000,100,100,110,110,140,160,170,190,220,220,220,566,0,100.0,109.16994528975285,97.20564499980355,218.17726300014328,26.0
1621427571,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,190,220,220,220,575,0,100.0,109.01585492869614,97.20564499980355,218.17726300014328,26.0
1621427572,6,,Aggregated,9.700000,0.000000,100,100,100,110,140,160,170,190,220,220,220,585,0,100.0,108.87722030598309,97.20564499980355,218.17726300014328,26.0
1621427573,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,190,220,220,220,596,0,100.0,108.81959012248396,97.20564499980355,218.17726300014328,26.0
1621427574,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,190,220,220,220,605,0,100.0,108.83723243636425,97.20564499980355,218.17726300014328,26.0
1621427575,6,,Aggregated,9.700000,0.000000,100,100,110,110,140,160,170,190,220,220,220,615,0,100.0,109.03270381788602,97.20564499980355,218.17726300014328,26.0
1621427576,6,,Aggregated,10.100000,0.000000,100,100,100,110,140,160,170,190,220,220,220,624,0,100.0,108.92388110897488,97.20564499980355,218.17726300014328,26.0
1621427577,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,190,220,220,220,634,0,100.0,108.98756379022126,97.20564499980355,218.17726300014328,26.0
1621427578,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,170,190,220,220,220,645,0,100.0,108.85360575038766,97.20564499980355,218.17726300014328,26.0
1621427579,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,190,220,220,220,654,0,100.0,108.73662183027533,97.20564499980355,218.17726300014328,26.0
1621427580,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,190,220,220,220,664,0,100.0,108.60343552409653,97.20564499980355,218.17726300014328,26.0
1621427581,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,170,190,220,220,220,675,0,100.0,108.45874648592611,97.20564499980355,218.17726300014328,26.0
1621427582,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,190,220,220,220,684,0,100.0,108.39473090789471,97.20564499980355,218.17726300014328,26.0
1621427583,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,190,220,220,220,693,0,100.0,108.37564414718607,97.20564499980355,218.17726300014328,26.0
1621427584,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,180,200,350,350,350,703,0,100.0,109.56850285490748,97.20564499980355,346.69304999988526,26.0
1621427585,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,180,200,350,350,350,712,0,100.0,109.53189125983104,97.20564499980355,346.69304999988526,26.0
1621427586,6,,Aggregated,9.700000,0.000000,100,100,100,110,140,160,180,200,350,350,350,721,0,100.0,109.40433864493691,97.20564499980355,346.69304999988526,26.0
1621427587,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,180,200,350,350,350,733,0,100.0,109.54053793451469,96.78583300001264,346.69304999988526,26.0
1621427588,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,180,200,350,350,350,742,0,100.0,109.45783119541707,96.78583300001264,346.69304999988526,26.0
1621427589,6,,Aggregated,9.700000,0.000000,100,100,100,110,140,160,180,200,350,350,350,751,0,100.0,109.54037277363409,96.78583300001264,346.69304999988526,26.0
1621427590,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,180,200,350,350,350,762,0,100.0,109.40409640026127,96.78583300001264,346.69304999988526,26.0
1621427591,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,180,200,350,350,350,772,0,100.0,109.30333729922216,96.78583300001264,346.69304999988526,26.0
1621427592,6,,Aggregated,9.700000,0.000000,100,100,100,110,140,160,180,200,350,350,350,781,0,100.0,109.19251495646564,96.78583300001264,346.69304999988526,26.0
1621427593,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,180,200,350,350,350,792,0,100.0,109.11872456060537,96.78583300001264,346.69304999988526,26.0
1621427594,6,,Aggregated,9.800000,0.000000,100,100,100,110,140,160,170,200,350,350,350,802,0,100.0,109.00728357730593,96.78583300001264,346.69304999988526,26.0
1621427595,6,,Aggregated,9.700000,0.000000,100,100,100,110,140,160,170,200,350,350,350,811,0,100.0,108.90493041553533,96.78583300001264,346.69304999988526,26.0
1621427596,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,200,350,350,350,822,0,100.0,108.79233459610593,96.78583300001264,346.69304999988526,26.0
1621427597,6,,Aggregated,10.000000,0.000000,100,100,100,110,140,160,170,200,350,350,350,831,0,100.0,108.6980649530675,96.78583300001264,346.69304999988526,26.0
1621427598,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,200,350,350,350,841,0,100.0,108.63302323781161,96.78583300001264,346.69304999988526,26.0
1621427599,6,,Aggregated,10.100000,0.000000,100,100,100,110,140,160,170,200,350,350,350,852,0,100.0,108.52771983333345,96.78583300001264,346.69304999988526,26.0
1621427600,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,200,350,350,350,861,0,100.0,108.4559519082461,96.78583300001264,346.69304999988526,26.0
1621427601,6,,Aggregated,9.900000,0.000000,100,100,100,110,140,160,170,200,350,350,350,871,0,100.0,108.37544505281284,96.78583300001264,346.69304999988526,26.0
1621427602,6,,Aggregated,10.100000,0.000000,100,100,100,110,130,160,170,200,350,350,350,882,0,100.0,108.30365129591881,96.78583300001264,346.69304999988526,26.0
1621427603,6,,Aggregated,9.900000,0.000000,100,100,100,110,130,160,170,200,350,350,350,891,0,100.0,108.23323422222273,96.78583300001264,346.69304999988526,26.0
1621427604,6,,Aggregated,9.900000,0.000000,100,100,100,110,130,160,170,200,350,350,350,901,0,100.0,108.16919088568288,96.78583300001264,346.69304999988526,26.0
1621427605,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,200,350,350,350,912,0,100.0,108.0610226962719,96.78583300001264,346.69304999988526,26.0
1621427606,6,,Aggregated,9.800000,0.000000,100,100,100,110,130,160,170,200,350,350,350,921,0,100.0,107.97735308903339,96.78583300001264,346.69304999988526,26.0
1621427607,6,,Aggregated,9.900000,0.000000,100,100,100,110,130,160,170,200,350,350,350,932,0,100.0,107.87470248497861,96.78583300001264,346.69304999988526,26.0
1621427608,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,200,350,350,350,942,0,100.0,107.78107251273916,96.78583300001264,346.69304999988526,26.0
1621427609,6,,Aggregated,9.800000,0.000000,100,100,100,110,130,160,170,200,350,350,350,951,0,100.0,107.70096937434303,96.78583300001264,346.69304999988526,26.0
1621427610,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,200,350,350,350,962,0,100.0,107.60757203118554,96.78583300001264,346.69304999988526,26.0
1621427611,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,200,350,350,350,972,0,100.0,107.53595126749033,96.78583300001264,346.69304999988526,26.0
1621427612,6,,Aggregated,9.800000,0.000000,100,100,100,110,130,160,170,200,350,350,350,981,0,100.0,107.46605016717666,96.78583300001264,346.69304999988526,26.0
1621427613,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,200,350,350,350,992,0,100.0,107.37364590524237,96.78583300001264,346.69304999988526,26.0
1621427614,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,190,300,350,350,1002,0,100.0,107.30717458582848,96.78583300001264,346.69304999988526,26.0
1621427615,6,,Aggregated,9.900000,0.000000,100,100,100,110,130,160,170,190,300,350,350,1011,0,100.0,107.23298698615197,96.78583300001264,346.69304999988526,26.0
1621427616,6,,Aggregated,10.100000,0.000000,100,100,100,110,130,160,170,190,300,350,350,1022,0,100.0,107.14833588943215,96.78583300001264,346.69304999988526,26.0
1621427617,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,170,190,300,350,350,1032,0,100.0,107.08085917248006,96.78583300001264,346.69304999988526,26.0
1621427618,6,,Aggregated,9.900000,0.000000,100,100,100,110,130,160,170,190,300,350,350,1041,0,100.0,107.01840190105679,96.78583300001264,346.69304999988526,26.0
1621427619,6,,Aggregated,10.100000,0.000000,100,100,100,110,130,160,160,190,300,350,350,1052,0,100.0,106.95703543726276,96.78583300001264,346.69304999988526,26.0
1621427620,6,,Aggregated,10.000000,0.000000,100,100,100,110,130,160,160,190,300,350,350,1062,0,100.0,106.90721358757102,96.78583300001264,346.69304999988526,26.0
1621427621,6,,Aggregated,9.900000,0.000000,100,100,100,110,120,160,160,190,300,350,350,1071,0,100.0,106.85199675723615,96.78583300001264,346.69304999988526,26.0
1621427622,6,,Aggregated,10.100000,0.000000,100,100,100,100,120,150,160,190,300,350,350,1082,0,100.0,106.79038999722695,96.78583300001264,346.69304999988526,26.0
1621427623,6,,Aggregated,10.000000,0.000000,100,100,100,100,120,150,160,190,300,350,350,1091,0,100.0,106.74019632630572,96.78583300001264,346.69304999988526,26.0
1621427624,6,,Aggregated,9.900000,0.000000,100,100,100,100,120,150,160,190,300,350,350,1101,0,100.0,106.66793174296062,96.78583300001264,346.69304999988526,26.0
1621427625,6,,Aggregated,10.100000,0.000000,100,100,100,100,120,150,160,190,300,350,350,1112,0,100.0,106.58842716366867,96.78583300001264,346.69304999988526,26.0
